network,sales_2025,share,cum_share
SERRA AZUL,0.0,0.0,0.9999999999999998
FELTRIN,0.0,0.0,0.9999999999999998
M. GLICERIO,0.0,0.0,0.9999999999999998
FORTE MIX,0.0,0.0,0.9999999999999998
VILLA GOURMET,0.0,0.0,0.9999999999999998
FRUTO DA TERRA,0.0,0.0,0.9999999999999998
QUALYMAX,0.0,0.0,0.9999999999999998
GEMMA,0.0,0.0,0.9999999999999998
SHOPPER,0.0,0.0,0.9999999999999998
GRUPO FAUNA,0.0,0.0,0.9999999999999998
QUINTA DAS FRUTAS,0.0,0.0,0.9999999999999998
GUIDOLIN,0.0,0.0,0.9999999999999998
MONALE,0.0,0.0,0.9999999999999998
H. MIRANDOPOLIS,0.0,0.0,0.9999999999999998
VILA DO GRAO,0.0,0.0,0.9999999999999998
MERCADO CIZI,0.0,0.0,0.9999999999999998
VITORIA,0.0,0.0,0.9999999999999998
HORTIFRUTI MAIS,0.0,0.0,0.9999999999999998
MERKATO,0.0,0.0,0.9999999999999998
INFANGER,0.0,0.0,0.9999999999999998
ARMAZEM CONFIANCA,0.0,0.0,0.9999999999999998
BENASSI,0.0,0.0,0.9999999999999998
ROFATTO,0.0,0.0,0.9999999999999998
PADARIA REAL,0.0,0.0,0.9999999999999998
TOPAZIO,0.0,0.0,0.9999999999999998
MINI DOM BOSCO,0.0,0.0,0.9999999999999998
SACOLAO,0.0,0.0,0.9999999999999998
CONFIANCA,0.0,0.0,0.9999999999999998
CALDAS,0.0,0.0,0.9999999999999998
UNIFORTE,0.0,0.0,0.9999999999999998
CHAMA,0.0,0.0,0.9999999999999998
TRELA RETAIL,0.0,0.0,0.9999999999999998
COPERCANA,0.0,0.0,0.9999999999999998
CALEGARIS,0.0,0.0,0.9999999999999998
DAVO,0.0,0.0,0.9999999999999998
SAMS CLUB,0.0,0.0,0.9999999999999998
EMP FLAMBOYANT,0.0,0.0,0.9999999999999998
SACOLAO ASSUNCAO,0.0,0.0,0.9999999999999998
POUPE REAL,0.0,0.0,0.9999999999999998
VIVA,0.0,0.0,0.9999999999999998
EMPORIUM SAO PAULO,0.0,0.0,0.9999999999999998
LOPES,0.0,0.0,0.9999999999999998
FLAMENGO,0.0,0.0,0.9999999999999998
SERV BEM,0.0,0.0,0.9999999999999998
GALASSI,0.0,0.0,0.9999999999999998
QUE BARATO,0.0,0.0,0.9999999999999998
MAXIMUS,0.0,0.0,0.9999999999999998
QUITANDA,0.0,0.0,0.9999999999999998
RAPPI,0.0,0.0,0.9999999999999998
MERCADO DA SORTE,0.0,0.0,0.9999999999999998
HORTIMEAT,0.0,0.0,0.9999999999999998
BARATAO MANAUS,0.0,0.0,0.9999999999999998
BARBOSA,0.0,0.0,0.9999999999999998
UNIAO SUP,0.0,0.0,0.9999999999999998
PAD. S. JOAQUIM,0.0,0.0,0.9999999999999998
CASA VERDE,0.0,0.0,0.9999999999999998
VIOLETA,0.0,0.0,0.9999999999999998
DAKI,0.0,0.0,0.9999999999999998
SUP X,0.0,0.0,0.9999999999999998
BIG MORAES,0.0,0.0,0.9999999999999998
PRECITO,0.0,0.0,0.9999999999999998
EVA,0.0,0.0,0.9999999999999998
QUALYMAIS,0.0,0.0,0.9999999999999998
MAURICIO,0.0,0.0,0.9999999999999998
MERCADAO LJ,0.0,0.0,0.9999999999999998
HORTI ASSUNCAO,0.0,0.0,0.9999999999999998
ALKTRA,0.0,0.0,0.9999999999999998
SAFRA,0.0,0.0,0.9999999999999998
COMPRE MIX,0.0,0.0,0.9999999999999998
COOP,0.0,0.0,0.9999999999999998
LF CONGELADOS,0.0,0.0,0.9999999999999998
M.MAGNO,0.0,0.0,0.9999999999999998
H. BOVERO,0.0,0.0,0.9999999999999998
C.C.SAO JUDAS TADEU,0.0,0.0,0.9999999999999998
COMPRA FACIL,0.0,0.0,0.9999999999999998
FRUTARIA,0.0,0.0,0.9999999999999998
DOM CONSTANTIN,0.0,0.0,0.9999999999999998
JOANIN,0.0,0.0,0.9999999999999998
YOUR MARKET,0.0,0.0,0.9999999999999998
JUSTO,0.0,0.0,0.9999999999999998
ALIANCA,0.0,0.0,0.9999999999999998
