store,network,sales_2025,share,cum_share
HIROTA JABAQUARA  02 SP,HIROTA,65549.78999999978,0.0026208226900170076,0.7283438706242751
PA VILA ROMANA 2068,GPA,65468.33999999981,0.002617566142465874,0.730961436766741
CASA DELIZA ARARAQUARA,CASA DELIZA,65020.77999999953,0.0025996717235341775,0.7335611084902751
SAVEGNAGO RP 16,SAVEGNAGO,64838.919999999984,0.0025924005665342036,0.7361535090568093
PA ABILIO SOARES 2384,GPA,63066.069999999825,0.0025215181807020435,0.7386750272375113
VILLA SIMPATIA EMMA LJ 01,VILLA REAL,62777.399999999965,0.002509976528380551,0.7411850037658919
MINI MERCADO HAGAPES SP,HAGAPE,62295.32000000015,0.002490701925023272,0.7436757056909152
CARREFOUR SP PINHEIROS SPP,CARREFOUR,62093.3199999998,0.0024826255271677743,0.7461583312180831
PA SP MORUMBI 1688,GPA,61351.78999999983,0.002452977550426304,0.7486113087685093
PA JUNDIAI 0465,GPA,61194.96999999962,0.002446707546903043,0.7510580163154124
PA PROENCA 0189,GPA,61010.94999999956,0.0024393500284210297,0.7534973663438334
CENOURAO RP 03,CENOURAO,60727.57000000036,0.0024280198817661753,0.7559253862255996
SAVEGNAGO RIO CLARO 36,SAVEGNAGO,59989.91000000021,0.002398526636013315,0.7583239128616129
PA PEDROSO 1231,GPA,59703.38999999968,0.0023870709453521393,0.7607109838069651
SAVEGNAGO ARARAS 41,SAVEGNAGO,59684.64000000004,0.0023863212797096273,0.7630973050866747
HIROTA ACLIMACAO 05 SP,HIROTA,59144.239999999896,0.002364714916337821,0.7654620200030126
OBA CPS SOUSAS,OBA,59122.26000000005,0.0023638361082939487,0.7678258561113065
SAVEGNAGO SUMARE 39,SAVEGNAGO,58879.06000000029,0.002354112445133296,0.7701799685564398
VAREJAO PASSARINHO ARA CENTRO,VAREJAO PASSARINHO,58739.250000000124,0.0023485225382809368,0.7725284910947207
EXTRA SP ITAIM BIBI 1341,GPA,58607.75999999986,0.002343265283063017,0.7748717563777837
OBA CPS AMOREIRAS,OBA,58555.299999999894,0.0023411678185506486,0.7772129241963344
PA JOAQUIM FLORIANO 1204,GPA,58250.679999999906,0.0023289884506559086,0.7795419126469902
ST MARCHE SP ALDEIA SERRA 17,ST MARCHE,58186.68000000004,0.002326429591929424,0.7818683422389197
BOA JUNDIAI 04 SHOP,BOA,57358.08000000011,0.002293300367854901,0.7841616426067746
PA MOEMA 1221,GPA,56613.04999999963,0.002263512453526806,0.7864251550603014
PA SJRP DAMHA 2424,GPA,56253.73999999984,0.0022491464608859527,0.7886743015211873
PA AUGUSTO TOLLE 2073,GPA,56039.72999999974,0.002240589877197572,0.7909148913983849
