store,network,state,city,sales_2024,sales_2025,qty_2024,qty_2025,price_2025,sort_2025,growth_abs,growth_pct
MAMBO MORUMBI SP,MAMBO,SP,SAO PAULO,73757.79999999997,93493.73000000011,26807.0,30365.0,3.0789965420714673,22,19735.93000000014,0.2675775307831869
ST MARCHE SAO CAETANO DO SUL22,ST MARCHE,SP,SAO CAETANO DO SUL,6788.940000000006,93108.9900000001,1660.0,23167.0,4.019035265679635,26,86320.0500000001,12.714805256785304
COVABRA 21 ITUPEVA,COVABRA,SP,ITUPEVA,0.0,92296.28999999995,0.0,32009.0,2.8834480927239197,27,92296.28999999995,
ST MARCHE SP MOOCA 18,ST MARCHE,SP,SAO PAULO,6427.140000000007,92239.20999999993,1504.0,22243.0,4.146887110551631,27,85812.06999999992,13.351517160043166
PA SOCRATES 1214,GPA,SP,SAO PAULO,81449.4100000001,92002.53999999972,19589.0,21978.0,4.186119756119743,17,10553.129999999612,0.12956668439955066
ST MARCHE SP RICARDO JAFET 25,ST MARCHE,SP,SAO PAULO,8089.240000000006,91776.37999999999,2058.0,23250.0,3.9473711827956985,27,83687.13999999998,10.345488574946462
PA ITU CENTRO 1002,GPA,SP,ITU,79532.7299999999,90829.40000000008,19917.0,21969.0,4.13443488552051,17,11296.670000000187,0.14203800121032195
ST MARCHE SP JAUAPERI 12,ST MARCHE,SP,SAO PAULO,6316.85,90426.91000000027,1563.0,22505.0,4.0180808709175855,27,84110.06000000026,13.31519032429142
ST MARCHE SP GRANJA VIANA 06,ST MARCHE,SP,COTIA,6409.78,89676.96999999987,1595.0,22492.0,3.987060732704956,27,83267.18999999987,12.990647104892815
BIG PACAEMBU SP 3705,BIG,SP,SAO PAULO,7496.100000000006,88918.00999999962,2545.0,20728.0,4.289753473562313,26,81421.90999999961,10.861902856151806
PA AFONSO BOVERO 0006,GPA,SP,SAO PAULO,93151.85000000014,88001.01999999913,24042.0,21742.0,4.047512648330381,17,-5150.830000001006,-0.055294983406137366
OBA PIRACICABA,OBA,SP,PIRACICABA,60841.32000000008,87943.23000000005,19318.0,29252.0,3.0064005879939852,25,27101.909999999974,0.4454523669111705
CARREFOUR SP WASHINGTON BIGWMB,CARREFOUR,SP,SAO PAULO,154987.98999999987,87940.66999999953,40622.0,21248.0,4.138774002259014,25,-67047.32000000034,-0.43259687411908754
PA MARIA ANTONIA 1202,GPA,SP,SAO PAULO,76351.48999999983,87335.45999999973,19219.0,21344.0,4.091803785607183,15,10983.9699999999,0.14386058477706087
