network,sales_2024,sales_2025,qty_2024,qty_2025,price_2024,price_2025,sort_2024,sort_2025,registered_stores,active_stores_2024,active_stores_2025,ticket_registered_2025,ticket_active_2025,growth_abs,growth_pct,ticket_gap_pct
NUTRICAR,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
VAJ. QUALIDADE,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
SUP BIAZOTO,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
VERDURAO,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
CERCADAO,0.0,0.0,0.0,0.0,,,0,0,8,0,0,0.0,,0.0,,
OPCAO MAX,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
XAVIER,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
OUTRAS REGIOES,32654.12000000003,0.0,7674.0,0.0,4.2551628876726655,,20,0,1,1,0,0.0,,-32654.12000000003,-1.0,
SUPER CITY,0.0,0.0,0.0,0.0,,,0,0,3,0,0,0.0,,0.0,,
OXAN,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
AGUA FRIA,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
CLUBE DA PICANHA,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
CABRAL,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
CONVEM,0.0,0.0,0.0,0.0,,,0,0,3,0,0,0.0,,0.0,,
MONTE SERRAT,0.0,0.0,0.0,0.0,,,0,0,4,0,0,0.0,,0.0,,
CREMA,0.0,0.0,0.0,0.0,,,0,0,4,0,0,0.0,,0.0,,
NOSSO,0.0,0.0,0.0,0.0,,,0,0,3,0,0,0.0,,0.0,,
PAO DA TERRA,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
TATU,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
DE MARCHI,0.0,0.0,0.0,0.0,,,0,0,9,0,0,0.0,,0.0,,
